aabbbabbabaabaa aabaaaabbabaabb
abababbbbabbaab aaaaaabaabaabba
aaaaaabaabaabba abaabaabaaaaabb
abaabaabaaaaabb ababbaabaabaaaa
ababbaabaabaaaa aaabbbbababbbab
aaabbbbababbbab aaabaabaaabaaaa
aaabaabaaabaaaa ababbaaabaababa
ababbaaabaababa aababaaaaaabaaa
aababaaaaaabaaa aaaabbbbbbbaaba
aaaabbbbbbbaaba ababbaaabbbbbbb
ababbaaabbbbbbb aabbabaaabababa
aabbabaaabababa aababbbbaabbaba
aababbbbaabbaba aabaaaabbbaaaab
aabaaaabbbaaaab aaabbaaaabaaaab
aaabbaaaabaaaab aabaaaaaaaaaaba
aabaaaaaaaaaaba aaabbbbabbbabba
aaabbbbabbbabba ababaabbbbbbbba
ababaabbbbbbbba ababbabbaabbaba
ababbabbaabbaba abaabaabbbbaaaa
abaabaabbbbaaaa aabbbaabaaabbaa
aabbbaabaaabbaa aabbaabaabbabbb
aabbaabaabbabbb aaabbbabbbbabaa
aaabbbabbbbabaa aaaaabbabbbbabb
aaaaabbabbbbabb aaababbbbaabbbb
aaababbbbaabbbb aabbbbaabbaabab
aabbbbaabbaabab aaabaaaaaaaaaab
aaabaaaaaaaaaab aabababababbaaa
aabababababbaaa abaaaaababaaaab
abaaaaababaaaab ababaabbbbababa
ababaabbbbababa aabbbaabaaabbab
aabbbaabaaabbab aaabbaabbaaabaa
aaabbaabbaaabaa ababaabbbaababa
ababaabbbaababa aabbaabbaaaabaa
aabbaabbaaaabaa aabbbababbbbbba
aabbbababbbbbba aaababbaaaababa
aaababbaaaababa aababbabbaaabbb
aababbabbaaabbb aabbbabaaaaaaab
aabbbabaaaaaaab abaaabbbbaaaaab
abaaabbbbaaaaab abababbbbbbbbbb
abababbbbbbbbbb abaaaabbbbbaaba
abaaaabbbbbaaba aabaabbbbaabaaa
aabaabbbbaabaaa aabbaabbaaaaaaa
aabbaabbaaaaaaa aabbbaabbaabaab
aabbbaabbaabaab abababbbabaaabb
abababbbabaaabb aabbaaabaaababa
aabbaaabaaababa aaaaaaabaabbaba
aaaaaaabaabbaba aaaabbbbbbbaabb
aaaabbbbbbbaabb aaabbaaaaaaaabb
aaabbaaaaaaaabb aaaababbabbabbb
aaaababbabbabbb aaaaaabaaabaaba
aaaaaabaaabaaba aaabbabbabbbabb
aaabbabbabbbabb aabbbbaaaaaabbb
aabbbbaaaaaabbb abaaaabbbbaaabb
abaaaabbbbaaabb ababbabababaaba
ababbabababaaba aaabbbbabbabbbb
aaabbbbabbabbbb aaabbbbabbbbbaa
aaabbbbabbbbbaa aabbbabaaaaaaba
aabbbabaaaaaaba aababaaabaabbba
aababaaabaabbba ababbaabaaabaaa
ababbaabaaabaaa abaaaababaabaaa
abaaaababaabaaa abababbbbabaaba
abababbbbabaaba aaaaabbbbbabbba
aaaaabbbbbabbba aabaaaaaababbab
aabaaaaaababbab aabbabaaabaaaba
aabbabaaabaaaba ababbaabaaabbaa
ababbaabaaabbaa aabbabbabababab
aabbabbabababab ababaabbaabbaba
ababaabbaabbaba aabbaabbbaaabba
aabbaabbbaaabba abaababbaabaaaa
abaababbaabaaaa aabababbaaababa
aabababbaaababa aabababbbbbbaab
aabababbbbbbaab aabbbaabaaaaabb
aabbbaabaaaaabb aaaaababaaaaaab
aaaaababaaaaaab aaaabaabaaaaaba
aaaabaabaaaaaba aaabbbabaaabaaa
aaabbbabaaabaaa ababaaaababbabb
ababaaaababbabb abaababaaaababb
abaababaaaababb aababbbaabababa
aababbbaabababa aaaabbaaaababbb
aaaabbaaaababbb aabbabaaabaaaab
aabbabaaabaaaab ababbabaabbaaab
ababbabaabbaaab aaaabaabbabbaab
aaaabaabbabbaab abaabbaabbabbab
abaabbaabbabbab aaabaaaabbbbaba
aaabaaaabbbbaba ababbaaaabbbaab
ababbaaaabbbaab abaaabbbaaabbab
abaaabbbaaabbab abaaabbabaabbba
abaaabbabaabbba aababbbbbaabbaa
aababbbbbaabbaa aababaaabbbaabb
aababaaabbbaabb abaabbbbbbaabbb
abaabbbbbbaabbb aabbaaaababbaaa
aabbaaaababbaaa abaaaaabaaabaab
abaaaaabaaabaab aabbbaaababbbba
aabbbaaababbbba ababaaaaaaaabbb
ababaaaaaaaabbb aabbbaabaabbbbb
aabbbaabaabbbbb aabbbbbaaaabbab
aabbbbbaaaabbab aabaaababbabbab
aabaaababbabbab aabbbbabbbababb
aabbbbabbbababb aaababbbabbabab
aaababbbabbabab aababaabbbbbaab
aababaabbbbbaab aaabbbaabbbaaab
aaabbbaabbbaaab abaaabababbbbba
abaaabababbbbba aabbabbbbababaa
aabbabbbbababaa aabbaabbbababab
aabbaabbbababab aaaababababaaab
aaaababababaaab aababbabababbbb
aababbabababbbb aaaabbaabbabbab
aaaabbaabbabbab abaaaaaaaaaabaa
abaaaaaaaaaabaa abaabbaabaabbab
abaabbaabaabbab abaababaaaaabab
abaababaaaaabab aabbbaabaaaabbb
aabbbaabaaaabbb aaababbaaaabaab
aaababbaaaabaab aaaabaabaaaaaab
aaaabaabaaaaaab aabababbbbaaaab
aabababbbbaaaab aabaaaabbaaabbb
aabaaaabbaaabbb ababbbaabbaabaa
ababbbaabbaabaa aababaabbaaaabb
aababaabbaaaabb aaaaaaaaaabbbba
aaaaaaaaaabbbba aaaaaababbbbaaa
aaaaaababbbbaaa aababababbaabaa
aababababbaabaa aababbbbbababaa
aababbbbbababaa aabbabbbabbabbb
aabbabbbabbabbb aaaabaabbababbb
aaaabaabbababbb aaabaabbbabbbba
aaabaabbbabbbba aaaaabababaaabb
aaaaabababaaabb abaaabaabbabbbb
abaaabaabbabbbb aabaabaaaabbaab
aabaabaaaabbaab aaaabaaaaabbbba
aaaabaaaaabbbba aaababbaaaababb
aaababbaaaababb aaaabaabbbababa
aaaabaabbbababa aaaaaaaabaaabab
aaaaaaaabaaabab ababaaaaaabbbbb
ababaaaaaabbbbb aabbaabbbaabbba
aabbaabbbaabbba aababababaabbba
aababababaabbba aaabbbaabbbbaba
aaabbbaabbbbaba aaaaabaaaabaaab
aaaaabaaaabaaab abaaaaabaabaaba
abaaaaabaabaaba abaaababaabbbaa
abaaababaabbbaa abababaababbaaa
abababaababbaaa aaaabaabaababbb
aaaabaabaababbb aaabaaabababaab
aaabaaabababaab abaaaaababababb
abaaaaababababb aaababbbaababbb
aaababbbaababbb aabbaaaaaabbaaa
aabbaaaaaabbaaa abababaabaabaaa
abababaabaabaaa aabbbaaabaaabab
aabbbaaabaaabab aaaaabaaabaabba
aaaaabaaabaabba ababbaaababaaab
ababbaaababaaab aaabbbbaabaabab
aaabbbbaabaabab aaaabaaaaaaaaaa
aaaabaaaaaaaaaa ababbaaaababaab
ababbaaaababaab abaaabababbbaab
abaaabababbbaab aabbabbbababaab
aabbabbbababaab abaabbbbabaaaba
abaabbbbabaaaba aaababbbbbbbabb
aaababbbbbbbabb aaaababbababaab
aaaababbababaab abababbbaaababb
abababbbaaababb aababbaabababba
aababbaabababba aaabbbbabababaa
aaabbbbabababaa aabaabaaaabbabb
aabaabaaaabbabb aabbbbbbaaabaab
aabbbbbbaaabaab aaaaabaaaabaaaa
aaaaabaaaabaaaa aaaaaaabaaabbbb
aaaaaaabaaabbbb aaabaaaababaaab
aaabaaaababaaab aababbaababaaba
aababbaababaaba aaabbababaabbaa
aaabbababaabbaa abaaaababbbbaab
abaaaababbbbaab aabaaaabaabbbaa
aabaaaabaabbbaa aaaabbaaabaabba
aaaabbaaabaabba aabbbbbbbbaabba
aabbbbbbbbaabba aabbbabababaabb
aabbbabababaabb aabbabababbbaab
aabbabababbbaab aaabababaaababa
aaabababaaababa ababaabaaaaabaa
ababaabaaaaabaa aabbbbbabbbaabb
aabbbbbabbbaabb ababbbabbabaaba
ababbbabbabaaba aabbbbaababbbaa
aabbbbaababbbaa aabbbbaabbbbaab
aabbbbaabbbbaab aabbbbbaabbabba
aabbbbbaabbabba abababbabbbabaa
abababbabbbabaa abaaabbbaabaaaa
abaaabbbaabaaaa aaaabbaaaabaaba
aaaabbaaaabaaba abaaababbababab
abaaababbababab ababbabbabaabba
ababbabbabaabba aabbaaabbbaabbb
aabbaaabbbaabbb abaaabbbbabbaba
abaaabbbbabbaba aababbbaababaaa
aababbbaababaaa ababaaaabbabbaa
ababaaaabbabbaa abaabbbabaabbaa
abaabbbabaabbaa aaaaaaaabaaabaa
aaaaaaaabaaabaa abaaaabbbbbbbba
abaaaabbbbbbbba aaabbaabbbaaabb
aaabbaabbbaaabb aabaaabaabaaaab
aabaaabaabaaaab aabbbabbbaabbab
aabbbabbbaabbab ababbbababbbaaa
ababbbababbbaaa ababababaababab
ababababaababab aabbabbbbabaaab
aabbabbbbabaaab aababbaaabbabab
aababbaaabbabab aabbaabbbabbaba
aabbaabbbabbaba aabbbabaaaababb
aabbbabaaaababb aaaabaabaababab
aaaabaabaababab aabbabbaababbaa
aabbabbaababbaa aaaabaabbbabaaa
aaaabaabbbabaaa aabaaaaaabaabba
aabaaaaaabaabba aaabbbbabababba
aaabbbbabababba aabbaaabababbbb
aabbaaabababbbb ababababababaaa
ababababababaaa ababbabbaabbaaa
ababbabbaabbaaa aabbbaaaaabbaaa
aabbbaaaaabbaaa aabbaabbbabbaab
aabbaabbbabbaab abaaababaaabbab
abaaababaaabbab aabaabbbbbbbbba
aabaabbbbbbbbba aaabbbababbaaaa
aaabbbababbaaaa aaaabbbaaaabbab
aaaabbbaaaabbab aaabaabaaaaaaaa
aaabaabaaaaaaaa aabababbbabbabb
aabababbbabbabb abaaaaabbaaaaba
abaaaaabbaaaaba aaabbbaaabaabab
aaabbbaaabaabab ababaabbbbabaab
ababaabbbbabaab aababbbababaaab
aababbbababaaab aabbbbaabbbbbab
aabbbbaabbbbbab abaaaabaabbabba
abaaaabaabbabba abaaaaabaaababa
abaaaaabaaababa aabbaaaaaababab
aabbaaaaaababab aabbbbbabaabaab
aabbbbbabaabaab aabaababbababaa
aabaababbababaa aababbbbabbabbb
aababbbbabbabbb aaaababbbbbbbbb
aaaababbbbbbbbb aaaabaaabbaaaaa
aaaabaaabbaaaaa aaababaabbbabbb
aaababaabbbabbb abaaabbbabbbbab
abaaabbbabbbbab aabbabbaaabbaba
aabbabbaaabbaba aabbaabbaaabbbb
aabbaabbaaabbbb abaabababbbabaa
abaabababbbabaa aabaabbabaababb
aabaabbabaababb aabbabaaabbbaaa
aabbabaaabbbaaa abaababaaabbaba
abaababaaabbaba abaabbbbbabbaab
abaabbbbbabbaab aababaababaaabb
aababaababaaabb aaabbababbbbbab
aaabbababbbbbab abaabbabaaababb
abaabbabaaababb aabaaaaaaaabbba
aabaaaaaaaabbba aabbbaaaabaabba
aabbbaaaabaabba aaaaaabbababbaa
aaaaaabbababbaa abaaaababbbbbbb
abaaaababbbbbbb abaaaaaaababbaa
abaaaaaaababbaa ababbbababaabba
ababbbababaabba aabbbbbabbabaaa
aabbbbbabbabaaa aaaaabbbbaaaaaa
aaaaabbbbaaaaaa aabaabbbbabbabb
aabaabbbbabbabb aaababbbbaababb
aaababbbbaababb aababbbbbaababb
aababbbbbaababb aababbaabbbbbba
aababbaabbbbbba aaaaaabbbbabbab
aaaaaabbbbabbab aabababbababbab
aabababbababbab aabbabbbaababbb
aabbabbbaababbb aaabbaaababbbaa
aaabbaaababbbaa aabbaabaabbbaab
aabbaabaabbbaab aaaabbbababbbba
aaaabbbababbbba aaaabbbbbbabbaa
aaaabbbbbbabbaa aababbbababbbbb
aababbbababbbbb aabbbabababbbaa
aabbbabababbbaa aaabbaabbaaabba
aaabbaabbaaabba abababbbaabbbbb
abababbbaabbbbb abababaabababaa
abababaabababaa aabaaaabaababaa
aabaaaabaababaa abaaabbbbabbaaa
abaaabbbbabbaaa aabbaababaabbab
aabbaababaabbab abaaababbabbbaa
abaaababbabbbaa aabaababaaabbaa
aabaababaaabbaa aabbbaaaabbabab
aabbbaaaabbabab ababbabbabaaabb
ababbabbabaaabb aabaababbaabbba
aabaababbaabbba ababaabbaaaaaba
ababaabbaaaaaba aababbabbabbaab
aababbabbabbaab aabbabaabbbbbba
aabbabaabbbbbba aaaabaaaaabbaab
aaaabaaaaabbaab aaabaabababbaaa
aaabaabababbaaa ababbabababbaab
ababbabababbaab aaababababaabab
aaababababaabab aaababbbabbbaba
aaababbbabbbaba abaabaabbbaaaba
abaabaabbbaaaba aabbabaabbbbaaa
aabbabaabbbbaaa aaaaabaaabbabba
aaaaabaaabbabba ababbbabbaaabaa
ababbbabbaaabaa aaaaaaabaaaabaa
aaaaaaabaaaabaa aabbabbbaaabaaa
aabbabbbaaabaaa aababaabaabaaab
aababaabaabaaab aababaabbbbbbab
aababaabbbbbbab aabbbaaaaaaabbb
aabbbaaaaaaabbb aaaabbaaaaaabaa
aaaabbaaaaaabaa ababbababbaaaba
ababbababbaaaba ababbababbbaabb
ababbababbbaabb aaabbbababbabaa
aaabbbababbabaa aaabaababaabbbb
aaabaababaabbbb abaabaaabbbbbaa
abaabaaabbbbbaa aaabbbabaabaaab
aaabbbabaabaaab abaaababbaabbab
abaaababbaabbab abaaaaabbbaabab
abaaaaabbbaabab abababbbabbbbab
abababbbabbbbab aaaabababaaaaba
aaaabababaaaaba abababababaaaaa
abababababaaaaa aaaaabbaaababaa
aaaaabbaaababaa aaaaabaababbbba
aaaaabaababbbba ababaababaaabab
ababaababaaabab aabbbabbaabbbaa
aabbbabbaabbbaa abaabbabaaabbbb
abaabbabaaabbbb aaababbaaaaaabb
aaababbaaaaaabb aaabbbbababbabb
aaabbbbababbabb ababaaabbbbabab
ababaaabbbbabab ababaabaaabbbab
ababaabaaabbbab aabbbbbbbaababa
aabbbbbbbaababa aaaabbbababaaab
aaaabbbababaaab ababbabaababbbb
ababbabaababbbb aaaaababaabbbaa
aaaaababaabbbaa abaaabaabbaabab
abaaabaabbaabab aaabbabaabaaaab
aaabbabaabaaaab aabaabbaababaaa
aabaabbaababaaa aaaabbbabaaaaab
aaaabbbabaaaaab abababbbbbbbaba
abababbbbbbbaba aabbbbaabababab
aabbbbaabababab aaaabbabbbabaab
aaaabbabbbabaab ababbbabaaababb
ababbbabaaababb aabaaaaababbaaa
aabaaaaababbaaa aaabaaabbabbaba
aaabaaabbabbaba aaaaabbaabababa
aaaaabbaabababa ababaabbbabbaab
ababaabbbabbaab aabbaaaabababba
aabbaaaabababba ababbabbbbabbba
ababbabbbbabbba ababbaabaaaabab
ababbaabaaaabab abaabbabaaabbba
abaabbabaaabbba aabbabaabbbaaba
aabbabaabbbaaba aaaabbabbababba
aaaabbabbababba aababbaabaabaaa
aababbaabaabaaa aaaaaabbbbabbba
aaaaaabbbbabbba aababbbabbbbaba
aababbbabbbbaba aaaaabbbbbaabba
aaaaabbbbbaabba aaabbaababaaaab
aaabbaababaaaab aaaabbaabaabaaa
aaaabbaabaabaaa aabbbabaabbbbab
aabbbabaabbbbab aaaabbbababbaab
aaaabbbababbaab aaaababbbabbbbb
aaaababbbabbbbb aaaaababbaabbba
aaaaababbaabbba abaabaaababbbbb
abaabaaababbbbb aaabbbbbabaaaaa
aaabbbbbabaaaaa ababbabaababaab
ababbabaababaab aabaababaaaaaba
aabaababaaaaaba aabbabaaabbabaa
aabbabaaabbabaa abaaabaababaaaa
abaaabaababaaaa ababbbaabbbbbaa
ababbbaabbbbbaa abababbaaaabbaa
abababbaaaabbaa aaabbbbbbaabbaa
aaabbbbbbaabbaa aaabaabaabbabab
aaabaabaabbabab aaabaababbbbbba
aaabaababbbbbba aabbaababbabaab
aabbaababbabaab aabbaababbbabba
aabbaababbbabba aabaabaaaaabbab
aabaabaaaaabbab aabbbabbbbbabbb
aabbbabbbbbabbb aabaabbababbabb
aabaabbababbabb aabbabaababbbab
aabbabaababbbab ababbaaaabbabab
ababbaaaabbabab ababbaabbabbbab
ababbaabbabbbab aaaabbaaabaabab
aaaabbaaabaabab abaabaabbaabbba
abaabaabbaabbba aaabbbabaaababb
aaabbbabaaababb aaaaabaaaaaabbb
aaaaabaaaaaabbb aaababbbaaaabbb
aaababbbaaaabbb aaabbbbaaabbbaa
aaabbbbaaabbbaa aababaaabababab
aababaaabababab abaaaabbabbbbaa
abaaaabbabbbbaa aaabbbbbaaaabab
aaabbbbbaaaabab aabbbabbaaaaaab
aabbbabbaaaaaab aaaaabbaaabaaaa
aaaaabbaaabaaaa aaaaabbbabbbbba
aaaaabbbabbbbba aaaaaaabaabaabb
aaaaaaabaabaabb aaaabbababbaaba
aaaabbababbaaba aaaaabbbaaaaabb
aaaaabbbaaaaabb aaaabbaaabbbbaa
aaaabbaaabbbbaa aababababaababa
aababababaababa abaabaaabaaabaa
abaabaaabaaabaa aaaabbaabbaaaab
aaaabbaabbaaaab aabaabaabababaa
aabaabaabababaa ababababaaabbaa
ababababaaabbaa aabaaaabaaabbab
aabaaaabaaabbab ababbabbbaaabab
ababbabbbaaabab aabaabaabbbbaaa
aabaabaabbbbaaa ababbaabaabbbba
ababbaabaabbbba aababbbbababbbb
aababbbbababbbb abaaaabbbaabbab
abaaaabbbaabbab aaaaaabbabbaaba
aaaaaabbabbaaba ababbabaaaababb
ababbabaaaababb aabbabbbbbbabaa
aabbabbbbbbabaa abaabbbbbbabbba
abaabbbbbbabbba aabaaaabbabbabb
aabaaaabbabbabb aababbabbbbbbba
aababbabbbbbbba abaabbabaababaa
abaabbabaababaa aaaaabbbbaaaaab
aaaaabbbbaaaaab aababbaaabbaaba
aababbaaabbaaba aaaabbbabbbaaba
aaaabbbabbbaaba abaaaaaaaabbbab
abaaaaaaaabbbab abaabaaaaabbbba
abaabaaaaabbbba ababbabaabbaaaa
ababbabaabbaaaa aabaaaabbbabaab
aabaaaabbbabaab aaabbbbbabbbbbb
aaabbbbbabbbbbb abaaababaaabbbb
abaaababaaabbbb aaaaabbbbabaaaa
aaaaabbbbabaaaa aaabbabbababaab
aaabbabbababaab aaaababaabbbaaa
aaaababaabbbaaa aabbaabaabababb
aabbaabaabababb aaabbabbbbbbaba
aaabbabbbbbbaba aabaabbaaaabaaa
aabaabbaaaabaaa aabaaaaaabbbaab
aabaaaaaabbbaab aabbabbbaabbaab
aabbabbbaabbaab aaababbbaabbaab
aaababbbaabbaab aababababbbbbaa
aababababbbbbaa aaabbabaabbabba
aaabbabaabbabba aabaaabbbabbaaa
aabaaabbbabbaaa aaaaabbbabbbabb
aaaaabbbabbbabb aababbbbaabaaaa
aababbbbaabaaaa aaaabbabaaaaaaa
aaaabbabaaaaaaa abaaabbaabaaaba
abaaabbaabaaaba aaababaaabababa
aaababaaabababa ababbaaabaaabaa
ababbaaabaaabaa aabaaababbabaab
aabaaababbabaab aaabaaabbababba
aaabaaabbababba aaaabbbaaababab
aaaabbbaaababab aababbbaabbbaaa
aababbbaabbbaaa abaabaabaaabaaa
abaabaabaaabaaa aabaaaabbbaaabb
aabaaaabbbaaabb aaaabaaaaabaaaa
aaaabaaaaabaaaa aaaabaababbbaaa
aaaabaababbbaaa aaabbbaaaaabaab
aaabbbaaaaabaab ababaaabbbbbbba
ababaaabbbbbbba aaaabaabbabaabb
aaaabaabbabaabb abaabbbababaaab
abaabbbababaaab aabbbaababababb
aabbbaababababb aabbabaabbaabba
aabbabaabbaabba abaabaaabababba
abaabaaabababba ababbabbbbbbbab
ababbabbbbbbbab aaaabaaabbabaaa
aaaabaaabbabaaa aabbbabaababbaa
aabbbabaababbaa abaabaaaabbbaba
abaabaaaabbbaba aaaaabbabaaaaaa
aaaaabbabaaaaaa aababbbabbbabbb
aababbbabbbabbb aaaaabaabbbbbab
aaaaabaabbbbbab abaaaaaaaaababb
abaaaaaaaaababb aaaaababbabaaab
aaaaababbabaaab aaaaabaabbbabab
aaaaabaabbbabab aababbabaaaaaba
aababbabaaaaaba aabbaababababba
aabbaababababba aababaabbabbaba
aababaabbabbaba aabbabbbbbbabbb
aabbabbbbbbabbb ababbbabbbaaaaa
ababbbabbbaaaaa abaabbbaababbbb
abaabbbaababbbb aaababbbbbbbaab
aaababbbbbbbaab aabbbbaaabbbaba
aabbbbaaabbbaba aabbababbbbbbba
aabbababbbbbbba abaabbabbbabbba
abaabbabbbabbba aabababaaaaaaab
aabababaaaaaaab aaabbbbababaaaa
aaabbbbababaaaa aaaaabbababaaba
aaaaabbababaaba aaaabbbaabbabaa
aaaabbbaabbabaa aababbbbbbaabbb
aababbbbbbaabbb abaaabbbabaabbb
abaaabbbabaabbb aabaabaaabababb
aabaabaaabababb aaaaaababaaabab
aaaaaababaaabab aaaaabbbaaaabab
aaaaabbbaaaabab aabbbbbbbbaaaab
aabbbbbbbbaaaab aaababbbbaabbba
aaababbbbaabbba abaaaababbaabbb
abaaaababbaabbb aabbabbbbabbaab
aabbabbbbabbaab abaaabababaabba
abaaabababaabba aabaabbbabaaaab
aabaabbbabaaaab ababbaaababbbbb
ababbaaababbbbb aababaabaaaaaba
aababaabaaaaaba aaabaababbbbbaa
aaabaababbbbbaa aaababbaabababa
aaababbaabababa aabbabbaaaabaaa
aabbabbaaaabaaa aababaabaaaabaa
aababaabaaaabaa aaabbaabaababbb
aaabbaabaababbb aaabbaababbbbaa
aaabbaababbbbaa aaabaaabaababba
aaabaaabaababba aabbbbbaababbba
aabbbbbaababbba aaaabbbabbbbbaa
aaaabbbabbbbbaa aabbabbbabbaabb
aabbabbbabbaabb ababbaabbaababb
ababbaabbaababb aaaaaabbbbbbbba
aaaaaabbbbbbbba aababbabaabaaba
aababbabaabaaba aabaaababbabbbb
aabaaababbabbbb abaaabababaaabb
abaaabababaaabb ababbabababbabb
ababbabababbabb aaabaabbbbbbaaa
aaabaabbbbbbaaa aaabbababbabaaa
aaabbababbabaaa aababbabbbbabbb
aababbabbbbabbb aaabbabbbbaaabb
aaabbabbbbaaabb aabababbaababaa
aabababbaababaa aaabaababaaabba
aaabaababaaabba aaaabbbaabababa
aaaabbbaabababa ababbbaaaabaabb
ababbbaaaabaabb aaabbbbabbbabab
aaabbbbabbbabab abaaaaaaabbbbaa
abaaaaaaabbbbaa aabbaaaabbbbbbb
aabbaaaabbbbbbb ababbbabaabbbab
ababbbabaabbbab aaaababbabaabba
aaaababbabaabba ababbbaaabbbbbb
ababbbaaabbbbbb aabababaabbbabb
aabababaabbbabb aaabbaabababbab
aaabbaabababbab aabbababababbba
aabbababababbba aababbaabbbbaab
aababbaabbbbaab aabbbabbbbababa
aabbbabbbbababa aaaabbabbbaaaab
aaaabbabbbaaaab aabbabaaabbaabb
aabbabaaabbaabb aaabaaaaaaaaabb
aaabaaaaaaaaabb ababbaababbaaba
ababbaababbaaba abaabbaaaabbbaa
abaabbaaaabbbaa ababaababbaabba
ababaababbaabba aaabbbabaaaabab
aaabbbabaaaabab aabbbababbbbbaa
aabbbababbbbbaa abababbbababbba
abababbbababbba abaabbbabaaaabb
abaabbbabaaaabb ababababbababbb
ababababbababbb aabaaabbabbabbb
aabaaabbabbabbb abaabaaaabbaaba
abaabaaaabbaaba aaaaabbbbabaaab
aaaaabbbbabaaab aababbaabababbb
aababbaabababbb aaaaababaaaaaaa
aaaaababaaaaaaa aaabaabaabbbbbb
aaabaabaabbbbbb abaabaabbbabbab
abaabaabbbabbab aaaababbbbabbbb
aaaababbbbabbbb aabbbaabababbba
aabbbaabababbba aaaaababbbabbbb
aaaaababbbabbbb aabababbbbaaabb
aabababbbbaaabb aabbbbaaaaabbaa
aabbbbaaaaabbaa abaaababababaaa
abaaababababaaa aaaabbbaaaaaaba
aaaabbbaaaaaaba aabbaabaabbaaab
aabbaabaabbaaab aaaaaabababaaaa
aaaaaabababaaaa ababbabbaabaaab
ababbabbaabaaab abaaabbbaababbb
abaaabbbaababbb aaababbaabbaabb
aaababbaabbaabb aabbbbaaabaabab
aabbbbaaabaabab aabbbbababbaaaa
aabbbbababbaaaa ababbaaabbababa
ababbaaabbababa aabbbbbaaaaabbb
aabbbbbaaaaabbb aaabbbaaabaabaa
aaabbbaaabaabaa aaaaabaaabbbaaa
aaaaabaaabbbaaa aabbbbaabaaaaaa
aabbbbaabaaaaaa aabbbbbbbbbabaa
aabbbbbbbbbabaa abaaaaabaabbaaa
abaaaaabaabbaaa aabbbabaaaaabab
aabbbabaaaaabab aaabbbababbbaba
aaabbbababbbaba aaaaaaabbbabaab
aaaaaaabbbabaab aaaababbabbbaaa
aaaababbabbbaaa abaaabababaaaba
abaaabababaaaba aaabbababababab
aaabbababababab aabbbbbaaaababb
aabbbbbaaaababb aabbababababbaa
aabbababababbaa aabaaaaaababaab
aabaaaaaababaab aaaaabbbbabbaba
aaaaabbbbabbaba aaababababbbabb
aaababababbbabb aabaabbbbabbbaa
aabaabbbbabbbaa aaabaaabbbbbbab
aaabaaabbbbbbab aabbbabbabbabbb
aabbbabbabbabbb aaabbabbbaaabab
aaabbabbbaaabab aabbabbaabbabab
aabbabbaabbabab aabbaaaaaababbb
aabbaaaaaababbb aabbbabbbababba
aabbbabbbababba aaababbbbaaaaab
aaababbbbaaaaab aaaaabaaabaaabb
aaaaabaaabaaabb ababbabbaababaa
ababbabbaababaa abaaabaaabbabba
abaaabaaabbabba aaabaababbabaaa
aaabaababbabaaa aabbaabbabbabaa
aabbaabbabbabaa aaabababbababbb
aaabababbababbb aabbbbbbaababbb
aabbbbbbaababbb aaababbaabaabab
aaababbaabaabab aaabaaaababaaaa
aaabaaaababaaaa aaabbaabbbaabba
aaabbaabbbaabba aabbbababbaaaaa
aabbbababbaaaaa aabbbbbabbaaaba
aabbbbbabbaaaba abaaabbbbbbbbba
abaaabbbbbbbbba aaaabbabaabbabb
aaaabbabaabbabb aaaaaaabaaaabbb
aaaaaaabaaaabbb aabbaaabaaaabbb
aabbaaabaaaabbb aaabaaaaabababa
aaabaaaaabababa abaabaaabaaabab
abaabaaabaaabab abaabbbbbaabbba
abaabbbbbaabbba abaaabababbbbaa
abaaabababbbbaa aabaaaaabaababa
aabaaaaabaababa aabbabaabbaaaaa
aabbabaabbaaaaa aaabbaabbbabbba
aaabbaabbbabbba abaaababbbaabab
abaaababbbaabab ababbaabbbbaaab
ababbaabbbbaaab ababaabbbbbabaa
ababaabbbbbabaa aaabbaabaabaaaa
aaabbaabaabaaaa aababbababbbbba
aababbababbbbba abaaaaaabbabbba
abaaaaaabbabbba aaaaabbaaabbbba
aaaaabbaaabbbba ababaabbaabbaab
ababaabbaabbaab abaaabababbbbab
abaaabababbbbab aabbbabaabaabbb
aabbbabaabaabbb aaaababbaababab
aaaababbaababab aabaaabaabbabba
aabaaabaabbabba aabbaabbbbaabab
aabbaabbbbaabab ababbaaabaababb
ababbaaabaababb aababbababababa
aababbababababa aaaaaababababaa
aaaaaababababaa ababbaaaaaabbbb
ababbaaaaaabbbb ababababbaababb
ababababbaababb aaabbaabaabbbaa
aaabbaabaabbbaa aaaaaaababbabaa
aaaaaaababbabaa aabbaabaabababa
aabbaabaabababa abaaababbabbbba
abaaababbabbbba abababbbbbababa
abababbbbbababa aabbaabbabbbaab
aabbaabbabbbaab aaaaaaabbbabbba
aaaaaaabbbabbba aabbbbabbaaabab
aabbbbabbaaabab aabbbbaababbaab
aabbbbaababbaab abaabbabaaaaabb
abaabbabaaaaabb aaabaaabbbbbaba
aaabaaabbbbbaba abaabaababaaabb
abaabaababaaabb abaabababbabbbb
abaabababbabbbb ababbabbbababba
ababbabbbababba aabaababbaaabbb
aabaababbaaabbb aaabbaaaabbaaaa
aaabbaaaabbaaaa aaabaababaaaaaa
aaabaababaaaaaa aaabaababbabbab
aaabaababbabbab aaabbbbbbbbbaab
aaabbbbbbbbbaab aaaabbaaabbbaab
aaaabbaaabbbaab ababbababaabaab
ababbababaabaab aaaababbabbaabb
aaaababbabbaabb aababbbbbbabbab
aababbbbbbabbab aaaabaaaaabbbbb
aaaabaaaaabbbbb aababbbabbbbbbb
